VisitID,Age,VisitDurationMin,TimeOfDay,DrinkType,FoodPurchase,LoyaltyMember,TotalSpent
1,40,27.8,Morning,Coffee,Pastry,Yes,10.44
2,32,24.5,Morning,Tea,Sandwich,Yes,11.81
3,42,18.4,Morning,Specialty,Dessert,Yes,14.2
4,52,13.5,Morning,Coffee,None,Yes,3.97
5,31,22.9,Evening,Tea,None,No,5.86
6,31,20.8,Evening,Tea,Dessert,No,10.12
7,53,24.3,Morning,Coffee,Pastry,No,10.55
8,43,22.4,Evening,Tea,Pastry,No,10.41
9,28,25.3,Afternoon,Coffee,Pastry,Yes,9.39
10,41,14.3,Morning,Coffee,Pastry,No,8.77
11,28,27.2,Morning,Coffee,Dessert,Yes,10.67
12,28,19.4,Afternoon,Coffee,Dessert,No,8.35
13,37,32.5,Afternoon,Coffee,Sandwich,Yes,14.09
14,18,13.2,Afternoon,Specialty,None,No,6.65
15,18,30.2,Morning,Coffee,Sandwich,Yes,13.89
16,27,19.4,Morning,Coffee,None,Yes,5.67
17,22,13.4,Morning,Coffee,None,No,6.69
18,38,14.6,Morning,Smoothie,Dessert,Yes,15.13
19,23,15.8,Morning,Tea,None,No,4.02
20,18,21.0,Morning,Tea,None,No,3.64
21,52,21.7,Evening,Smoothie,None,No,8.25
22,31,14.0,Evening,Specialty,Sandwich,No,15.21
23,35,17.8,Morning,Coffee,Pastry,No,9.44
24,18,33.0,Evening,Tea,Pastry,Yes,10.52
25,27,30.1,Morning,Specialty,None,No,9.16
26,35,21.1,Afternoon,Specialty,Sandwich,No,15.33
27,20,18.3,Morning,Specialty,Sandwich,No,16.85
28,39,18.8,Afternoon,Coffee,None,Yes,3.93
29,27,22.3,Evening,Coffee,None,No,5.98
30,30,10.8,Afternoon,Coffee,None,No,5.27
31,27,16.2,Morning,Smoothie,Dessert,No,10.92
32,56,6.3,Afternoon,Coffee,Pastry,Yes,10.94
33,34,20.8,Morning,Coffee,Dessert,Yes,10.45
34,21,22.5,Evening,Specialty,None,Yes,10.4
35,44,14.6,Afternoon,Coffee,Sandwich,No,12.42
36,19,29.0,Morning,Specialty,Sandwich,No,15.45
37,37,9.4,Afternoon,Coffee,Pastry,Yes,6.76
38,18,7.7,Afternoon,Coffee,Dessert,Yes,9.78
39,18,19.6,Morning,Coffee,None,Yes,8.56
40,36,25.3,Afternoon,Smoothie,None,Yes,8.35
41,43,29.8,Morning,Coffee,Pastry,No,8.83
42,36,14.8,Afternoon,Coffee,Sandwich,No,12.9
43,33,25.6,Evening,Specialty,Pastry,Yes,13.12
44,30,17.7,Evening,Coffee,None,Yes,6.42
45,18,16.8,Afternoon,Tea,Pastry,Yes,9.54
46,25,24.2,Afternoon,Tea,None,No,6.27
47,28,22.6,Morning,Coffee,Pastry,Yes,13.33
48,47,7.0,Afternoon,Tea,Pastry,Yes,9.45
49,38,28.3,Morning,Coffee,Sandwich,Yes,15.4
50,18,27.7,Afternoon,Tea,None,No,5.23
51,38,13.6,Morning,Coffee,None,No,4.38
52,29,20.8,Morning,Tea,None,No,5.68
53,26,21.5,Afternoon,Coffee,None,Yes,6.67
54,41,19.8,Morning,Tea,Sandwich,Yes,11.59
55,46,14.1,Afternoon,Coffee,Dessert,Yes,10.13
56,45,13.3,Morning,Coffee,None,No,6.15
57,24,17.8,Morning,Coffee,Sandwich,Yes,14.12
58,30,26.2,Afternoon,Coffee,Dessert,No,10.8
59,38,21.8,Morning,Specialty,Sandwich,No,15.77
60,46,15.4,Morning,Coffee,None,No,5.14
61,28,23.4,Afternoon,Specialty,Dessert,Yes,13.01
62,32,3.0,Morning,Specialty,None,Yes,7.18
63,21,26.0,Evening,Tea,None,Yes,9.64
64,20,5.8,Morning,Coffee,None,No,5.56
65,44,15.5,Morning,Coffee,Pastry,No,8.75
66,50,10.2,Afternoon,Smoothie,None,Yes,6.7
67,33,8.9,Morning,Coffee,None,Yes,9.95
68,46,26.1,Morning,Coffee,None,No,5.07
69,38,14.7,Morning,Tea,Sandwich,No,11.2
70,26,20.4,Morning,Specialty,Sandwich,Yes,16.74
71,38,17.7,Evening,Smoothie,None,No,8.91
72,52,21.3,Morning,Coffee,Sandwich,Yes,14.73
73,34,18.5,Afternoon,Tea,Sandwich,Yes,14.62
74,53,9.0,Evening,Coffee,Sandwich,No,12.77
75,18,25.0,Morning,Coffee,None,No,5.38
76,44,14.5,Evening,Specialty,Pastry,No,11.65
77,35,7.1,Morning,Coffee,Dessert,Yes,10.81
78,30,15.0,Evening,Coffee,Pastry,No,11.84
79,35,28.5,Morning,Coffee,None,Yes,5.71
80,18,24.0,Afternoon,Specialty,Pastry,Yes,14.54
81,31,15.6,Afternoon,Smoothie,Pastry,Yes,11.66
82,38,15.6,Morning,Tea,Pastry,Yes,10.48
83,52,15.7,Afternoon,Smoothie,None,No,7.16
84,28,32.5,Afternoon,Coffee,None,No,5.25
85,24,20.7,Morning,Coffee,Sandwich,Yes,14.78
86,28,21.0,Morning,Coffee,Sandwich,Yes,14.33
87,45,25.2,Afternoon,Coffee,None,Yes,7.98
88,38,19.7,Afternoon,Coffee,Dessert,Yes,10.67
89,28,16.2,Evening,Specialty,None,No,8.07
90,40,16.6,Afternoon,Coffee,Pastry,No,6.65
91,35,17.5,Evening,Coffee,Sandwich,Yes,14.57
92,46,17.7,Afternoon,Coffee,Sandwich,Yes,13.34
93,26,23.1,Morning,Coffee,Dessert,No,9.28
94,30,18.4,Morning,Specialty,None,No,8.03
95,29,23.1,Afternoon,Coffee,Sandwich,Yes,12.55
96,18,17.4,Afternoon,Coffee,None,Yes,4.79
97,38,18.6,Morning,Smoothie,Sandwich,No,13.44
98,37,4.0,Morning,Coffee,Sandwich,Yes,11.07
99,34,24.4,Evening,Coffee,Pastry,Yes,10.2
100,31,20.4,Afternoon,Coffee,None,No,4.65
101,18,25.0,Morning,Tea,Sandwich,No,10.67
102,29,3.0,Afternoon,Specialty,None,No,9.81
103,30,32.6,Morning,Smoothie,None,No,10.37
104,24,17.0,Morning,Coffee,Sandwich,No,11.75
105,32,25.8,Morning,Specialty,Pastry,Yes,13.64
106,39,10.7,Morning,Coffee,Sandwich,Yes,13.41
107,57,22.3,Afternoon,Coffee,None,Yes,7.98
108,36,10.6,Morning,Coffee,None,Yes,5.36
109,37,13.6,Evening,Coffee,Sandwich,No,13.78
110,33,31.4,Evening,Tea,Pastry,No,9.05
111,18,16.7,Morning,Tea,None,No,4.03
112,34,19.5,Afternoon,Specialty,Sandwich,No,15.68
113,35,24.1,Afternoon,Tea,Pastry,Yes,11.06
114,64,21.5,Evening,Tea,Pastry,Yes,13.17
115,32,19.1,Morning,Coffee,Pastry,No,7.75
116,38,20.6,Afternoon,Coffee,Sandwich,No,12.96
117,34,34.8,Afternoon,Tea,Sandwich,No,11.93
118,20,17.6,Morning,Coffee,Sandwich,No,13.74
119,48,19.4,Morning,Specialty,None,No,6.93
120,43,25.4,Afternoon,Coffee,Sandwich,No,10.8
121,43,25.7,Afternoon,Coffee,Pastry,Yes,9.07
122,23,26.3,Morning,Coffee,Pastry,No,10.13
123,51,22.5,Afternoon,Coffee,None,No,4.9
124,18,10.0,Morning,Coffee,Sandwich,Yes,14.02
125,41,29.4,Afternoon,Smoothie,Sandwich,No,15.9
126,60,10.0,Morning,Coffee,None,Yes,7.0
127,22,20.1,Evening,Tea,None,No,8.18
128,27,12.7,Morning,Coffee,Dessert,Yes,11.28
129,35,17.6,Morning,Coffee,None,No,4.38
130,28,20.3,Morning,Coffee,Dessert,Yes,12.92
131,18,20.2,Morning,Specialty,Pastry,No,11.66
132,35,21.0,Afternoon,Coffee,Pastry,Yes,10.9
133,21,29.3,Morning,Smoothie,None,Yes,11.83
