Tenure_Months,Avg_Monthly_Spend,Support_Calls,Products_Owned,Referrals,CLV_Target
52,142.24189858210457,3,2,0,6731.44
15,423.61835812444286,0,2,0,6102.02
61,38.444647501915995,2,1,3,3211.34
21,452.8457562250033,2,4,0,8869.6
24,241.5091830198724,2,4,2,6268.37
3,325.8567088679746,2,2,1,1132.34
22,336.4898826587757,2,3,0,7195.51
53,449.65651553913744,1,4,1,21279.03
2,325.6014474402595,4,2,1,239.47
30,314.68812068482964,3,3,1,8700.66
38,51.992979469131186,0,3,1,1672.08
2,268.83585053369796,2,4,3,2027.16
64,92.08112039218,2,2,1,5388.39
60,373.9682089863131,3,3,0,20315.35
21,265.86652199008375,1,3,1,5612.7
33,346.5093340200096,2,1,1,10466.96
58,40.002992289144444,0,1,2,2286.39
22,60.70016770198555,3,4,1,2076.24
49,363.8352262700875,3,1,1,15109.99
59,54.600481279363215,2,2,3,4055.14
42,54.203229327324124,0,4,0,2169.24
60,25.812068112745976,3,4,0,1815.77
15,479.12067118375046,2,1,0,5544.04
62,374.00401254032334,4,3,0,20041.28
62,189.5606760809908,1,2,1,11293.29
47,162.33707901807452,3,2,2,7425.29
62,187.85755027800778,2,2,1,10347.24
51,391.8336949669673,4,4,1,16434.96
55,337.45789331379893,0,2,1,16075.06
64,108.89387257638461,2,3,3,7202.07
3,103.57248096036048,1,3,0,489.4
51,67.22991186243071,1,1,2,3995.54
7,336.9453054566423,1,2,0,2293.34
21,386.8988778664333,0,4,0,8038.38
39,147.22228559600194,1,1,1,5311.97
18,30.05358129483815,2,3,1,982.88
4,59.44240038868513,3,2,3,961.7
60,484.57281672561464,5,3,0,24389.34
14,161.81349318916173,3,1,1,2608.29
9,389.22711096230415,2,3,1,3375.89
53,319.83851305004663,4,2,0,14768.94
2,203.33102703339003,3,2,1,549.49
60,118.72988585386645,2,1,1,5976.02
71,78.26548071651509,1,2,1,5416.59
44,315.20622465865597,1,3,1,12102.02
8,391.8242147061382,4,3,0,2735.8
47,329.07404169974274,5,4,2,13441.45
35,274.545023959596,1,4,0,8507.09
36,40.1365872471854,3,4,1,1950.9
50,484.8746132453042,2,3,1,21061.23
4,403.3828119941958,1,3,1,2437.0
2,160.55457761646306,2,1,0,388.28
6,490.3857580922483,1,4,0,4739.15
54,308.9031630254346,2,3,0,14731.46
4,299.5628759394783,1,1,2,842.92
54,379.0751261261754,0,3,3,18495.33
63,409.64949828326604,2,1,1,22183.0
18,335.1097315191213,1,4,0,5395.27
44,81.48595825577601,2,4,0,3582.32
34,182.36840287735924,3,4,1,5733.76
62,465.4801473565039,0,3,1,25408.11
14,127.81549368504892,0,3,1,1526.42
48,198.6401714420064,2,1,0,8621.4
15,227.39690381321407,1,2,0,2501.37
62,230.91439505333705,2,2,1,12519.69
40,314.2109995973722,3,4,1,11063.25
53,472.67640211745965,2,2,0,21668.15
24,135.53250167960238,3,4,1,3412.47
26,78.32066062444068,3,1,2,2331.24
60,114.7858351327699,3,2,0,6416.21
41,445.72395210044937,2,2,1,16395.36
29,329.9891900744989,0,4,2,9251.12
15,157.23525883479687,2,1,0,2238.73
45,411.6545307049363,2,2,2,17447.21
65,433.4575982544493,2,2,2,25074.11
71,426.32688257133344,3,2,1,25993.19
9,461.08473614698613,1,1,0,4310.26
1,141.07568968321357,2,1,1,574.91
8,382.4201257982136,0,2,1,2677.53
63,241.0589586915872,0,4,0,13432.71
11,424.15930538722955,2,4,3,4471.98
8,369.67552503757435,3,2,0,1570.93
35,392.6947743198678,1,1,0,11316.62
35,334.9576820869143,1,2,0,10277.3
33,105.1658093454593,4,1,2,3464.15
5,281.6129210705304,1,2,2,1329.62
41,492.64147497176396,2,1,2,16428.99
28,469.9462719186171,0,3,0,12421.54
7,40.7233931825656,4,4,0,692.83
12,99.11111155012982,3,3,4,2869.74
34,83.22981125818971,2,4,1,3677.28
33,368.47035679294186,2,1,2,11251.37
48,412.5369583313336,3,3,2,17676.45
23,122.48545582912251,3,4,3,3465.94
62,262.8092926168779,1,2,0,14415.06
37,423.537453445376,3,1,1,13503.44
44,371.7447414878003,3,1,1,13881.77
35,280.2738586360872,0,2,2,8214.78
65,303.366891420211,4,2,0,16843.48
