fraud,transaction_amount,transaction_hour,num_transactions_24h,distance_from_home,merchant_risk_score,is_international,card_present,online_order,new_device,account_age_days,customer_tenure_months,prior_chargebacks,failed_login_attempts,billing_shipping_mismatch,high_risk_country,merchant_category_risk,weekend_transaction,customer_avg_transaction_amount,amount_to_avg_ratio,days_since_last_transaction,num_cards_on_account,ip_risk_score,velocity_score,browser_language_risk,screen_resolution_score,customer_age,loyalty_points_balance,email_domain_age_days,app_version_score,random_marketing_score
0,52.51,14,7,9.33,43.93,0,1,0,1,3001,100.0,0,0,0,0,2.08,0,23.78,2.21,64,1,31.33,97.9,0.29,9.96,72,32593,2791,5.84,13.07
0,22.17,16,2,14.31,21.28,0,1,0,0,2355,78.5,0,1,0,0,7.03,0,17.97,1.23,68,1,14.31,31.24,1.63,4.89,46,18722,4108,6.46,23.12
0,16.33,6,2,8.91,76.3,0,1,0,0,944,31.5,0,0,0,0,4.98,0,32.03,0.51,36,2,85.62,21.63,5.24,5.93,43,36957,4292,3.19,66.25
0,204.34,22,4,54.62,27.66,0,1,0,0,1992,66.4,0,0,0,0,8.42,1,43.51,4.7,15,1,71.97,60.51,6.61,6.64,52,7161,3661,8.64,99.29
0,22.26,21,4,16.67,76.47,0,0,1,0,966,32.2,0,1,1,0,5.53,1,34.16,0.65,80,1,86.48,69.02,8.52,8.97,56,1322,1436,2.39,46.88
0,133.25,21,0,56.23,36.69,0,0,1,0,2105,70.2,1,1,0,0,4.73,0,11.61,11.48,9,4,3.44,0.0,1.44,9.27,72,42057,4513,4.07,32.53
0,39.31,6,4,55.68,49.02,0,0,1,0,1328,44.3,0,0,0,0,7.0,0,22.97,1.71,86,2,68.79,67.16,4.78,7.05,79,3503,546,8.31,22.56
0,44.72,10,2,2.94,29.04,1,1,0,0,815,27.2,0,1,0,0,6.68,0,24.98,1.79,39,1,52.56,26.99,8.98,1.37,68,13756,120,9.76,9.33
0,56.5,0,1,14.01,5.23,0,1,0,0,743,24.8,0,0,0,0,2.25,1,14.05,4.02,89,1,30.01,15.59,8.82,2.14,72,1225,4290,7.01,78.02
0,16.43,17,4,9.74,83.46,0,0,1,0,1883,62.8,2,0,0,0,5.7,1,32.18,0.51,79,1,4.0,53.44,1.55,2.72,58,48490,1181,3.67,61.16
1,125.64,8,2,10.49,47.77,0,1,0,0,3485,116.2,1,1,1,0,9.14,0,25.08,5.01,4,4,14.58,23.62,1.59,2.34,46,21955,54,4.18,84.58
0,11.05,9,2,7.59,35.87,1,1,0,1,419,14.0,0,0,1,0,2.58,0,15.61,0.71,69,2,4.01,23.95,8.75,5.51,22,5860,36,2.84,44.53
0,29.42,23,1,61.32,7.39,0,1,0,0,883,29.4,0,1,0,0,7.86,0,26.68,1.1,38,4,4.87,20.5,5.53,4.67,62,39436,2243,7.25,5.25
0,56.54,16,2,16.5,4.0,0,1,0,0,1831,61.0,0,1,0,0,8.09,0,26.07,2.17,8,2,66.33,17.94,7.0,8.08,65,6640,2252,6.92,61.84
1,5.99,23,4,26.67,76.35,0,1,0,1,1925,64.2,0,2,0,0,2.11,0,57.08,0.1,53,1,74.03,64.56,3.16,9.8,79,15441,2574,8.95,45.42
1,34.02,17,1,16.89,7.04,1,1,0,1,2023,67.4,0,2,0,0,4.93,1,37.88,0.9,65,2,59.24,11.33,7.63,8.83,50,42936,4196,7.76,81.03
1,12.98,10,4,7.44,24.64,1,0,1,0,2044,68.1,0,2,1,0,6.54,0,57.45,0.23,11,1,60.7,43.97,8.16,8.77,36,49111,2003,7.88,71.55
0,83.95,6,1,3.68,38.28,0,0,1,0,3515,117.2,0,0,0,0,8.29,0,48.42,1.73,73,1,81.75,30.65,7.34,8.7,41,23369,2966,6.93,50.51
0,43.5,2,0,15.57,52.69,0,1,0,1,2020,67.3,0,0,0,0,6.87,0,34.66,1.26,42,1,93.29,6.0,6.53,7.66,78,30416,1881,7.55,94.54
0,143.33,4,4,5.74,41.56,0,1,0,0,1348,44.9,0,0,0,0,5.18,1,81.24,1.76,84,1,64.56,60.18,8.66,8.61,47,14971,726,1.56,64.16
0,25.72,17,4,20.67,80.42,0,1,0,0,3293,109.8,0,2,1,0,6.18,1,46.21,0.56,54,2,74.04,77.1,0.69,5.99,76,31800,3865,3.17,97.1
0,122.47,19,4,2.87,65.87,0,1,0,0,2265,75.5,0,1,0,0,5.74,1,40.29,3.04,57,3,72.62,49.7,2.56,2.54,67,22992,1300,7.26,56.39
0,82.4,12,4,5.15,72.26,0,1,0,1,789,26.3,0,0,0,0,4.83,0,25.27,3.26,40,4,55.35,66.14,6.23,7.43,62,26941,4939,3.12,50.89
0,17.81,5,2,4.2,60.93,1,1,0,0,1957,65.2,0,1,0,0,2.04,0,24.98,0.71,62,1,33.63,33.77,2.04,2.39,66,40456,4999,7.66,79.78
0,248.36,18,1,16.22,67.51,0,1,0,0,956,31.9,0,1,0,0,5.4,0,20.49,12.12,64,1,33.77,20.91,8.65,3.77,44,42616,3878,9.43,9.82
0,48.14,5,4,35.48,44.6,0,1,0,0,1174,39.1,0,2,0,0,7.98,1,51.73,0.93,64,2,79.13,61.03,0.06,8.12,56,7214,1470,4.7,22.43
0,26.76,5,3,23.46,37.72,1,0,1,0,1015,33.8,0,0,0,0,7.9,0,61.39,0.44,15,1,30.4,49.58,4.07,9.51,79,22129,4654,9.25,85.32
0,111.73,3,2,4.21,25.75,0,1,0,0,2581,86.0,0,0,0,0,2.8,0,52.46,2.13,23,2,74.12,17.35,9.67,1.99,64,15238,1796,1.62,9.14
0,290.11,15,2,15.4,79.41,0,0,1,0,1297,43.2,0,1,0,0,3.63,0,68.5,4.24,20,1,99.33,22.58,9.92,6.59,73,9897,3896,1.17,1.43
0,20.66,21,3,39.29,87.77,0,1,0,1,561,18.7,1,2,0,0,2.26,1,31.79,0.65,17,2,44.12,50.12,9.16,0.4,66,42538,337,1.79,23.15
0,41.1,18,5,29.93,38.99,0,1,0,1,1143,38.1,0,0,0,0,2.34,0,30.76,1.34,46,1,64.53,87.88,9.23,3.73,23,9405,1677,4.59,64.45
0,11.37,22,2,31.68,25.83,0,1,0,0,1657,55.2,0,1,0,0,1.63,0,15.94,0.71,0,1,14.39,36.64,1.47,2.01,21,19270,2427,3.67,1.27
0,18.55,22,4,98.08,73.79,0,1,0,0,3066,102.2,0,0,0,1,8.26,0,40.99,0.45,26,1,57.55,57.37,3.69,2.73,20,11720,3572,6.76,4.16
0,31.52,20,1,1.0,8.44,0,1,0,0,1608,53.6,0,1,0,0,8.13,0,130.49,0.24,72,1,70.47,9.28,7.55,7.82,52,42309,1664,2.46,56.56
0,19.94,17,2,28.12,66.56,1,1,0,0,3436,114.5,1,1,0,1,2.62,0,23.89,0.83,43,2,47.36,20.62,2.1,4.88,59,42541,731,2.12,71.98
0,121.5,17,4,35.86,41.39,0,1,0,1,1585,52.8,1,0,0,0,7.86,0,24.04,5.05,65,2,56.25,61.91,7.48,4.23,70,40621,944,3.1,53.67
0,15.52,5,3,46.14,20.61,1,1,0,0,413,13.8,0,0,0,0,3.18,0,40.37,0.38,64,1,87.39,35.23,2.02,9.18,54,22132,4312,8.67,55.2
0,24.45,20,2,6.53,93.43,0,0,1,0,1932,64.4,0,3,0,1,6.53,0,44.94,0.54,55,3,58.39,14.9,5.53,7.6,34,40226,849,4.05,12.23
0,13.31,6,2,12.14,88.01,0,0,1,0,404,13.5,0,2,0,0,6.46,1,30.73,0.43,89,2,49.9,36.95,5.16,1.18,48,21695,2052,5.04,54.64
0,18.97,1,0,23.63,20.0,1,0,1,0,2499,83.3,0,1,1,0,2.01,1,24.46,0.78,48,1,58.75,0.0,7.68,9.41,40,6994,4613,3.6,84.08
0,26.86,2,2,4.12,51.79,0,1,0,0,1702,56.7,0,1,0,0,5.99,0,12.85,2.09,53,2,56.94,25.66,7.68,5.04,50,35282,763,9.22,34.96
0,421.22,18,1,23.55,46.36,0,1,0,0,2140,71.3,0,1,0,0,4.33,0,40.16,10.49,13,4,68.85,23.52,9.65,7.89,49,49070,3810,6.73,98.47
0,71.14,6,3,13.63,75.39,1,1,0,1,405,13.5,1,1,0,0,9.6,0,36.25,1.96,3,2,27.41,38.37,1.01,0.85,49,21658,1169,1.23,78.46
1,62.82,6,2,67.81,86.93,0,1,0,1,823,27.4,0,2,0,0,4.13,1,29.3,2.14,7,3,83.56,28.37,5.1,5.54,32,20530,4100,1.65,42.35
0,46.74,22,1,71.6,57.33,0,1,0,0,2683,89.4,1,1,0,0,9.18,0,14.22,3.29,77,1,1.2,11.76,7.05,4.04,62,12369,2491,2.86,27.82
0,66.93,18,2,2.05,24.36,0,1,0,0,2412,80.4,0,0,0,0,9.56,0,21.61,3.1,21,1,91.97,42.59,6.01,3.68,77,26382,3689,7.87,97.11
0,31.94,15,8,0.26,25.21,0,0,1,0,1456,48.5,0,0,1,0,4.38,0,40.73,0.78,34,1,8.69,100.0,8.59,5.19,45,25530,4092,6.51,7.81
1,31.34,0,3,19.05,38.36,0,1,0,0,2623,87.4,2,2,1,0,6.24,0,55.92,0.56,38,2,75.35,22.42,5.6,7.8,37,43973,369,3.4,74.71
