AdvertisingSpend,Price,StoreTraffic,CompetitorDistance,Region,StoreType,PromotionType,Season,Sales
29.16,11.75,1702,2.46,South,Flagship,None,Fall,382.81
16.95,18.29,1573,6.05,West,Neighborhood,None,Spring,279.21
24.03,15.9,953,4.39,East,Outlet,Loyalty,Spring,478.37
28.56,15.07,1512,6.48,East,Neighborhood,None,Winter,259.46
21.73,11.1,868,1.23,North,Outlet,None,Fall,171.4
25.64,20.21,1286,8.97,North,Neighborhood,Bundle,Summer,412.0
17.87,17.66,1863,2.82,North,Neighborhood,Discount,Winter,499.06
20.43,12.79,1759,7.66,West,Outlet,Bundle,Fall,558.24
20.35,19.01,1407,4.26,East,Flagship,None,Fall,293.3
16.03,13.01,961,1.91,East,Neighborhood,Discount,Summer,368.46
20.59,11.87,1691,3.24,North,Flagship,None,Winter,432.16
9.61,11.96,1409,7.69,West,Outlet,None,Fall,215.89
18.07,7.92,356,19.35,West,Outlet,Loyalty,Fall,447.05
19.72,16.89,1752,5.17,North,Flagship,None,Fall,325.93
19.95,7.68,1389,17.93,North,Neighborhood,Discount,Summer,619.32
20.07,10.09,1941,1.23,North,Outlet,Discount,Winter,464.47
21.51,6.7,907,4.51,South,Flagship,Discount,Winter,492.67
25.84,14.66,250,5.18,East,Neighborhood,Loyalty,Winter,256.14
29.0,14.4,1526,7.96,South,Outlet,None,Winter,328.67
16.8,13.69,1531,3.34,South,Flagship,Bundle,Spring,85.27
12.37,10.83,639,6.9,East,Neighborhood,Loyalty,Spring,201.76
13.66,10.31,960,4.68,North,Neighborhood,Discount,Winter,328.69
18.1,16.86,2640,11.94,South,Outlet,Loyalty,Summer,720.86
19.18,12.8,1262,6.18,South,Outlet,None,Spring,183.18
15.84,16.27,1729,20.0,South,Outlet,Discount,Fall,501.47
11.63,11.46,1107,4.71,West,Neighborhood,None,Spring,393.45
18.35,15.72,459,11.45,North,Outlet,Bundle,Fall,227.14
23.45,20.21,1323,13.83,East,Outlet,Loyalty,Winter,397.17
26.76,17.34,1280,0.5,East,Neighborhood,None,Spring,209.26
17.54,13.35,1220,8.9,North,Outlet,Bundle,Summer,440.84
18.7,16.03,1348,4.58,East,Flagship,None,Spring,233.39
14.59,14.04,1519,2.16,North,Neighborhood,Discount,Spring,350.71
21.75,15.03,1332,12.08,North,Flagship,Discount,Spring,788.84
15.21,13.7,831,3.49,West,Flagship,Loyalty,Winter,364.31
26.59,14.34,1619,1.16,West,Flagship,Bundle,Summer,709.25
7.71,15.85,523,6.28,West,Neighborhood,Discount,Spring,237.81
19.12,11.03,477,13.24,South,Neighborhood,None,Summer,146.89
24.41,10.94,1733,2.19,North,Neighborhood,None,Winter,416.35
23.47,9.45,1628,9.68,East,Flagship,None,Fall,619.34
43.54,8.6,1374,0.86,South,Neighborhood,None,Spring,330.18
24.8,10.13,772,13.85,North,Neighborhood,Loyalty,Summer,606.17
13.97,15.64,1081,7.2,South,Outlet,Discount,Summer,434.23
21.24,11.43,1282,1.99,North,Neighborhood,Discount,Winter,623.12
7.79,17.05,682,9.11,West,Neighborhood,None,Spring,80.78
21.36,15.14,1067,3.65,South,Outlet,Loyalty,Fall,230.67
15.34,7.13,1694,2.61,East,Neighborhood,Bundle,Summer,553.06
29.32,17.62,2042,3.59,South,Flagship,None,Spring,520.71
17.6,18.24,1211,8.5,East,Flagship,Bundle,Fall,231.11
21.07,11.02,1740,2.47,East,Outlet,Discount,Summer,418.65
16.92,16.68,539,0.54,North,Flagship,None,Summer,242.12
35.91,11.57,1697,3.73,West,Outlet,Discount,Fall,636.87
19.43,15.39,1038,12.4,West,Neighborhood,Discount,Fall,457.4
36.66,9.94,1538,12.29,West,Outlet,None,Winter,529.09
28.51,7.83,1289,3.58,West,Outlet,Loyalty,Spring,479.98
25.86,13.47,1994,3.48,East,Outlet,Loyalty,Spring,336.09
24.95,14.51,1007,3.32,West,Neighborhood,Bundle,Winter,571.28
25.15,13.41,1682,3.2,North,Outlet,Discount,Summer,540.99
6.58,10.26,1274,3.38,North,Neighborhood,Discount,Fall,255.34
19.77,13.4,1329,6.5,North,Neighborhood,Bundle,Fall,568.95
28.76,16.08,1317,12.59,South,Neighborhood,Discount,Fall,492.53
21.61,14.82,1019,2.47,South,Outlet,None,Summer,279.48
10.76,15.73,1394,2.87,South,Outlet,Discount,Fall,348.38
21.58,12.32,1372,7.02,West,Outlet,Loyalty,Fall,556.39
35.63,19.69,1509,8.83,South,Neighborhood,Discount,Winter,452.91
31.98,10.3,1438,1.46,South,Neighborhood,None,Summer,583.35
21.5,16.95,1759,15.63,East,Neighborhood,Bundle,Spring,309.96
29.61,19.73,1816,4.28,North,Flagship,None,Winter,412.51
19.07,16.92,927,1.6,West,Flagship,None,Winter,133.4
8.37,14.19,1791,1.39,North,Neighborhood,None,Spring,382.68
14.6,12.89,866,1.31,West,Neighborhood,Discount,Winter,319.63
34.5,19.14,1665,11.31,West,Neighborhood,Bundle,Summer,566.15
19.81,9.31,1679,5.76,North,Flagship,Discount,Fall,715.44
20.05,11.12,540,11.37,North,Flagship,None,Summer,473.81
19.6,13.41,1442,5.0,West,Flagship,Loyalty,Spring,510.95
37.23,19.95,1189,11.17,East,Outlet,Loyalty,Spring,356.65
35.01,16.52,1059,4.91,East,Neighborhood,Loyalty,Winter,326.75
39.75,11.13,2008,7.94,West,Neighborhood,None,Summer,595.08
20.73,13.76,1106,5.25,North,Neighborhood,Discount,Summer,509.37
24.36,12.54,1037,4.69,South,Flagship,Loyalty,Spring,478.73
9.87,12.16,1434,2.68,North,Outlet,Bundle,Summer,227.93
33.82,18.92,1709,8.69,West,Outlet,None,Spring,436.23
12.66,9.51,1336,2.2,East,Flagship,None,Summer,389.1
23.73,21.44,1925,8.68,South,Neighborhood,Discount,Summer,481.4
13.22,18.31,1639,5.94,North,Outlet,Loyalty,Summer,341.92
17.29,19.36,420,8.83,South,Outlet,Discount,Spring,240.67
15.3,13.15,1162,6.31,South,Neighborhood,Discount,Winter,50.0
17.14,14.4,1147,11.97,East,Neighborhood,None,Summer,284.25
17.69,9.27,1616,7.42,East,Flagship,Bundle,Spring,487.77
17.61,12.9,250,6.03,West,Outlet,Loyalty,Spring,308.63
28.67,16.97,2547,0.5,South,Flagship,Discount,Summer,636.68
13.16,20.18,1639,12.29,North,Outlet,Bundle,Summer,442.31
23.76,10.57,1467,1.3,East,Neighborhood,Loyalty,Winter,552.72
31.74,13.54,1932,1.74,West,Neighborhood,None,Spring,528.91
17.89,14.39,2455,9.39,East,Neighborhood,Discount,Spring,658.41
16.26,9.42,1792,5.6,West,Flagship,None,Fall,446.08
20.16,17.37,1827,1.36,South,Flagship,Bundle,Spring,476.26
31.44,12.1,1459,3.48,East,Flagship,Discount,Winter,561.12
23.55,14.22,1336,11.87,South,Flagship,Bundle,Fall,488.76
17.75,13.19,1186,6.18,North,Outlet,Bundle,Fall,467.27
25.87,11.84,1028,5.7,North,Neighborhood,Discount,Fall,486.22
13.18,14.97,1091,3.15,North,Flagship,Loyalty,Summer,510.04
27.45,14.14,792,9.62,East,Outlet,Discount,Summer,512.68
25.27,13.51,1366,5.11,South,Outlet,None,Spring,372.24
19.54,12.09,642,8.45,East,Outlet,Bundle,Fall,514.84
15.29,16.28,1486,2.89,West,Outlet,Bundle,Winter,420.37
14.91,21.61,1384,19.42,North,Flagship,Discount,Summer,369.52
26.28,15.56,1466,13.29,South,Neighborhood,Loyalty,Winter,427.42
