AdvertisingSpend,StoreSize,Region,Sales
8.24,38.51,South,405.31
20.92,74.19,North,713.86
16.1,107.29,West,749.16
13.17,93.22,North,600.36
3.43,100.66,South,421.81
3.43,85.88,West,400.24
1.28,89.23,South,312.18
19.06,104.92,West,785.56
13.22,44.97,North,461.91
15.58,68.94,South,586.93
0.45,42.12,North,232.37
21.34,118.77,North,836.39
18.31,114.41,West,766.47
4.67,23.94,North,337.68
4,90.56,East,394.48
4.03,112.52,South,464.95
6.69,38.06,South,342.61
11.54,76.79,West,521.88
9.5,111.55,North,569.43
6.41,23.39,East,363.75
13.46,89.74,West,627.67
3.07,49.73,East,307.43
6.43,112.44,West,524.25
8.06,117.11,North,580.76
10.03,114.43,South,614.29
17.27,67.42,South,630.24
4.39,106.2,East,437.49
11.31,104.45,West,594.72
13.03,51.91,South,481.85
1.02,102.89,East,352.07
13.37,23.7,North,424.04
3.75,79.63,East,362.73
1.43,43,South,266.9
20.88,32.06,West,554.36
21.24,27.7,East,528.16
17.78,89.63,South,660.05
6.7,53.99,North,403.15
2.15,92.48,North,347.18
15.05,26.54,North,493.16
9.68,51.53,South,458.43
2.68,73.95,West,316.02
10.89,99.07,East,569.32
0.76,51.88,East,237.75
20.01,82.59,North,702.71
5.69,108.6,West,491.87
14.58,81.59,East,584.73
6.86,43.3,North,369.63
11.44,22.44,East,387.41
12.03,107.01,East,639.31
4.07,22.13,North,300.62
21.33,107.47,South,778.71
17.05,72.89,South,616.23
20.67,113.91,North,824.94
19.69,99.88,West,770.34
13.15,119.79,West,742.87
20.28,55.07,East,644.65
1.95,96.72,South,320.46
4.31,60.19,South,366.84
1,67.99,East,315.97
7.16,82.75,East,444.48
8.55,107.37,North,579.15
5.97,118.41,East,544.25
18.23,96.83,West,716.45
7.85,61.78,South,404.36
6.18,62.14,North,435.8
11.94,93.76,West,616.57
3.1,43.88,North,327.91
17.65,31.05,South,495.05
1.64,55.46,North,309.25
21.71,48.72,South,557.71
16.99,49.63,West,594.77
4.37,43.36,East,361.8
0.12,24.21,North,219.77
17.94,21.79,West,493.17
15.55,118.77,West,723.26
16.04,62.78,West,609.93
16.97,58.43,North,606.77
1.63,87.96,South,326.5
7.89,41.83,West,434.29
2.55,115,West,408.72
18.99,98.63,North,767.74
13.71,28.94,North,441.54
7.28,61.76,South,412.75
1.4,107.91,West,367.89
6.84,114.47,East,531.05
7.15,66.74,South,412.78
16.05,81.34,North,647.3
14.03,36.7,East,499.6
19.52,119.12,West,829.22
10.39,43.17,South,392.33
2.63,114.27,West,455.86
15.69,84.96,West,689.75
16.74,80.77,North,631.57
12.35,71.27,East,563.77
16.96,43.07,South,506.97
10.86,37.65,West,456.07
11.5,42.05,East,466.06
9.41,38.64,East,413.07
0.56,97.96,West,316.48
2.37,55.01,South,282.38
0.69,25.78,West,221.67
14,116.91,East,686.58
6.92,108.38,North,520.39
11.19,112.78,East,614.47
19.97,119.49,West,863.62
5.48,37.39,South,364.01
9.03,59.62,West,456.93
16.62,95.82,West,714.35
5.03,89.6,South,428.1
1.69,35.39,West,286.63
6.37,101.58,North,496.17
3.55,42.44,North,339.19
20.45,42.38,North,593.41
17.78,73.7,West,631.78
13.93,79.29,East,617.87
19.17,78.01,North,708.69
17.68,29.15,South,465.02
4.1,107.75,East,441.07
19.64,46.56,North,603.72
11.87,32.95,West,449.05
17.76,108.87,West,795.09
19.71,115.57,East,867.53
7,106.21,West,505.98
2.42,100.95,South,337.91
5.01,85.52,West,440.49
9.4,75.09,East,517.16
18,28.7,East,497.7
18.94,60.85,North,660.45
0.15,57.27,West,240.92
11.24,45.98,South,463.15
9.18,92.34,North,529.36
4.89,69.59,North,436.48
2.64,28.1,East,320.62
7.43,42.02,East,374.77
20.74,88.33,East,725.63
7.11,27.61,West,385.39
11.41,105.12,North,615.18
15.47,69.51,East,595.55
8,68.06,North,464.24
21.38,79.24,West,687.42
21.17,102.47,West,809.69
5.54,54.78,East,365.12
10.94,87.8,East,552.27
6.62,76.57,South,461.03
6.27,46.7,South,335.91
0.81,107.86,West,372.15
13.41,99.74,South,620.83
11.06,85.85,South,537.29
1.13,105.06,South,355.55
6.13,106.73,West,509.25
19.98,90.84,South,727.67
5.27,103.7,North,491.13
3.19,89.75,East,378.81
10.77,88.01,West,557.9
21.68,81.86,North,714.24
5.33,95.27,North,437.65
14.79,35.86,North,562.15
16.76,108.09,South,744.12
5.23,107.18,South,424.21
16.02,22.92,East,435.8
8.09,102.58,East,543.63
13.91,32.89,East,481.33
13.94,53.51,South,520.93
11.79,94.35,West,603.26
1.99,36.08,South,258.31
18.38,101.8,West,767.14
7.06,103.21,East,510.83
4.1,70.75,North,333.66
0.9,20.64,East,226.76
13,48.7,South,463.11
14.91,81.69,East,626.62
0.36,118.12,North,416.74
11.27,83.18,North,573.82
4.98,45.98,West,355.02
14.19,83.4,North,643.44
3.84,74,West,395.6
15.2,97.98,South,666.19
8.51,30.7,East,399.29
20.61,96.1,East,808.33
3.03,74.13,East,332.28
7.5,116.3,South,541.33
2.5,54.19,North,298.17
20.34,83.26,North,736.5
19.3,113.2,South,759.99
5.67,30.25,East,327.92
14.52,113.72,West,713.45
17.98,88.79,West,732.22
12.21,26.78,West,462.9
11.65,50.1,West,466.55
5.32,90.82,East,443.13
2.05,26.74,South,232.95
19.74,78.22,West,675.4
19.81,54.59,East,603.39
13.93,82.09,East,599.62
7.46,24.57,North,415.7
7.68,107.15,South,525.88
15.97,117.35,South,699.2
19.74,116.89,West,822.92
19.52,94.97,East,764.4
17.16,33.01,South,534.7
14.12,95.83,West,626.24
1.85,22.46,North,216.25
3.56,22.21,South,310.86
19.77,52.36,North,618.57
13.34,68.86,East,540.56
0.2,97.04,West,333.95
2.23,88.33,South,286.26
14.6,64.59,West,581.38
0.11,47.36,South,242.97
3.54,119.71,West,473.01
12.07,62.62,West,510.82
15.22,65.14,West,594.83
14.34,36.36,North,472.55
4.93,99.48,West,462.45
15.67,89.37,East,639.07
5.22,42.08,South,325.97
7.16,28.24,West,346.66
16.42,88.05,South,663.47
14.29,85.45,West,654.08
18.68,47.33,North,575.33
14.47,115.09,East,710.73
12.5,35.11,East,424.57
2.06,63.23,North,315.34
8.09,114.36,North,563.52
5.83,61.97,North,463.36
5.37,83.85,South,390.19
21.41,59.76,South,656.02
8.65,47.42,East,446.92
19.63,118.4,South,809.84
13.89,60.93,South,567.38
17.49,109.41,East,762.04
11.06,43,North,470.94
12.69,41.31,West,486.4
10.84,23.11,West,441.24
4.3,85.17,East,430.66
15.89,56.85,East,551.54
6.18,106.44,West,473.41
0.53,67.32,North,285.4
14.2,116.82,North,699.66
3.9,38.55,North,322.15
20.69,106.86,West,844.79
20.99,97.66,North,774.67
20.13,97.09,East,758.05
8.14,104.48,West,549.9
0.34,96.1,West,343.64
20.42,82.62,East,663.64
9.42,33.12,North,399.31
21.27,23.25,West,531.81
21.2,112.08,East,855.78
18.77,81.67,North,684.44
6.48,99.65,North,452.06
8.47,68.15,West,491.1
18.73,31.73,East,505.77
6.97,32.52,West,347.85
3.73,88.56,West,392.82
12.25,63.03,East,521.36
20.6,40.05,East,552.54
15.31,69.16,South,525.95
12.54,26.42,South,436.12
2.14,78.2,South,354.77
13.53,46.9,West,529.49
21.78,99.76,East,769.1
3.08,51.04,West,325.64
11.4,65.52,South,499.31
19.3,21.16,East,502.7
16.3,27.24,East,495.59
15.33,59.25,East,548.16
15.45,67.99,East,593.69
7.91,80,North,497.17
6.46,49.17,East,419.98
17.81,89.5,North,720.84
17.82,106.01,South,747.3
19.08,97.99,South,727.03
20.09,23.96,East,536.42
11.25,68.05,West,540.91
11.03,30.49,East,404.93
17.56,44.2,East,578.71
14.3,118.67,East,731.72
15.44,34.25,East,482.45
17.51,69.89,North,627.46
19.58,81.82,South,684.85
7.44,90.25,South,485.48
8.26,75.96,South,467.57
2.07,20.98,North,266.52
12.72,52.65,North,551.18
0.79,71.77,South,307.41
10.24,28.79,West,423.54
11.94,55.06,South,502.74
6.3,23.32,South,296.1
13,27.86,North,460.51
0.67,59.69,East,318.83
0.82,33.27,South,228.21
18.1,76.75,North,650.27
7.92,88.95,East,485.7
2.8,100.06,North,372.8
11.49,40.02,North,444.49
16.94,36.75,North,518.13
4.75,30.46,North,295.21
13.7,83.64,North,615.03
1.88,90.65,South,358.18
1.14,23.16,West,227.49
11.69,113.62,East,677.41
11.89,25.2,East,433.71
14.02,74.13,South,590.37
15.97,90.91,West,667.76
21.47,107.1,South,814.24
11.36,91.41,North,564.16
7.11,100.17,East,523.54
17.49,53.95,North,590.98
5.96,101.48,South,474.24
9.66,28.01,East,371.86
1.73,109.48,West,363.93
0.56,74.76,South,295
21.18,101.73,East,771.09
18.39,65.23,West,650.7
15.31,84.36,North,616.16
9,72.64,South,489.59
3.81,93.16,South,365.61
3.44,28.16,South,289.49
5.51,26.04,South,324.37
12.08,44.71,West,471.8
15.72,35.95,East,513.39
14.52,107.18,East,694.32
6.16,41.92,South,340.43
21.01,117.59,West,838.93
16.23,53.69,West,530.8
12.2,38.21,West,479.75
13.46,98.97,North,617.47
9.23,85.87,East,524.45
5.45,69.82,North,406.11
7.83,75.54,South,468.21
16.67,91.92,North,686.66
0.32,42.85,East,241.5
2.55,119.63,East,431.38
1.01,117.48,North,377.59
0.9,85.03,South,311.32
18.82,39.95,South,538.64
15.48,88.02,South,599
10.43,27.22,North,431.03
2.15,23.07,South,258.6
10.82,45.77,West,446.95
10.42,66.26,North,502.32
3.81,106.83,North,434.91
9.54,92.72,South,525.03
8.77,94.27,West,548.69
13.55,62.55,East,577.39
13.97,54.59,East,554.37
1,57.1,South,240.19
8.24,118.76,East,585.25
13.77,24.01,North,480.3
11.07,106.7,East,620.95
18.84,77.87,West,712.71
14.49,63.86,East,608.99
3.58,92.53,West,431.86
1.55,68.67,East,318.37
14.13,107.34,North,712.18
0.58,110.07,West,353.52
12.89,62.17,North,542.35
20.69,47.68,East,585.85
12.66,79.24,North,617.45
8.54,111.24,North,551.33
14.15,41.07,South,510.79
10.08,82.3,South,526.06
12,83.16,South,524.52
20.71,93.31,East,762.94
8.49,33.16,North,351.43
21.15,91.58,North,779.27
19.92,110.9,East,822.65
4.31,37.97,South,297.15
1.53,43.75,East,279.63
2.22,117.14,East,444.54
0.4,38.1,West,240.54
2.08,105.44,East,356.83
15.03,69.23,South,602.77
1.57,44.72,East,322.35
7.02,107.07,South,499.73
18.59,64.53,South,629.15
0.51,71.48,West,327.28
17.92,55.92,South,554
6.2,79.3,West,439.94
2.6,36.35,West,323.85
15.33,59.11,West,614
13.84,116.94,West,726.26
19.3,45.81,South,533.56
16.17,85.67,South,681.38
17.68,52.52,East,564.05
6.2,97.35,South,452.88
3.9,33.09,East,316.88
16.51,116.98,East,792.55
17.75,65.38,East,636.62
21.79,43.61,South,578.08
9.08,27.35,North,404.35
8.18,36.98,South,378.71
17.08,71.98,North,650.42
7.5,53.7,West,371.48
20.48,102.89,South,758.14
18.89,63.09,North,640.59
9.44,44.87,North,414.5
16.52,81.71,East,658.8
16.6,90.68,East,674.71
2.27,36.7,South,306.4
19.86,36.76,North,592.04
11.12,23.67,South,380.59
18.18,93.64,South,692.87
7.04,86.38,East,472.83
19.7,67.46,East,640.99
8.56,104.42,South,536.11
0.24,100.57,North,308.03
19.92,78.54,West,681.9
2.01,106.83,South,379.29
7.02,40.58,East,395.3
20.9,31.19,North,529.8
20.91,46.97,South,592.78
12.62,25.71,North,427.12
13.9,73.12,East,586.53
9.87,113.66,West,629.84
6.45,23.93,South,321.67
7.23,32.21,North,384.2
14.8,65.22,North,570.49
16.55,113.39,South,724.82
17.41,51.62,North,574.25
17.37,70.72,North,622.19
2.01,24.16,West,262.47
10.88,34.83,South,380.91
1.27,118.66,South,350.08
12.09,116.51,West,666.2
9.71,20.49,North,382.42
19.53,115.18,West,820.35
7.72,83.91,South,467.14
2.58,106.79,West,414.82
3.15,65.47,East,365.51
16.75,71.56,West,622.15
13.6,68.88,West,550.11
2.22,86.69,South,318.66
1.85,33.97,West,266.79
15.42,23,South,432.41
1.6,50.79,South,257.17
18.08,90.47,South,655.73
15.54,40.19,East,500.85
1.79,87.34,North,354.27
1.87,116.99,East,404.02
21.71,29.39,East,524.76
8.23,87.26,West,504.66
8.15,64.38,West,442.4
17.88,106.81,South,732.9
20.84,37.71,South,520.91
21.69,89.26,South,746.72
16.57,103.81,North,688.8
8.28,114.46,North,561.77
1.84,88.32,South,340.5
17.1,69.72,South,607.1
12.28,81.78,West,645.97
9.33,106.89,East,580.1
19.94,77.06,South,644.96
2.45,23.04,East,263.26
10.84,113.09,North,590.95
0.25,88.95,South,290.29
10.31,87.65,East,531.25
1.24,41.57,South,273.32
2.61,85.89,South,338.31
2.59,59.39,West,329.25
