SongID,Genre,ReleaseMonth,ReleaseDayOfWeek,Explicit,MajorLabel,Collaboration,MusicVideo,ArtistFollowers_K,PlaylistPlacements,TikTokMentions_K,SongLengthSec,PriorArtistPopularity,RadioSpins_K,MonthlyStreams_M,PopularityScore
SNG0001,Hip-Hop,Dec,Tue,0,1,0,0,73.5,14,8.4,212,69.9,8.9,53.82,98.5
SNG0002,Indie,Aug,Mon,0,0,1,0,52.6,22,4.9,236,68.8,3.8,41.33,100
SNG0003,Latin,Mar,Fri,0,0,0,1,375,12,7.7,202,33.6,38.7,35.55,90.3
SNG0004,Rock,Aug,Wed,1,0,1,0,33.3,19,10.2,171,60.5,6.9,42.78,94.7
SNG0005,Pop,May,Mon,1,0,0,0,134.5,14,2.3,234,84.2,11,36.59,94.3
SNG0006,Pop,Jan,Fri,0,1,0,0,95.8,17,11.8,173,18.7,5.1,23.65,71.1
SNG0007,Pop,Jul,Fri,1,1,0,0,78.3,14,2,263,75.4,3.1,43.11,100
SNG0008,EDM,May,Tue,0,0,1,1,187.9,24,9.2,223,86.8,14.5,45.97,100
SNG0009,Rock,Jun,Fri,0,1,1,0,82.2,18,2,186,31.3,2.7,21.19,63.9
SNG0010,Latin,Jun,Fri,1,0,1,0,42.8,22,32,240,45.9,10.8,38.59,100
SNG0011,Pop,Aug,Sun,0,0,1,1,81.8,19,10.9,205,67.3,10.9,42.79,91.5
SNG0012,Indie,Sep,Fri,0,0,0,0,58.7,22,1.3,198,42,3.7,25.21,83.7
SNG0013,Country,Feb,Wed,0,1,1,1,94.9,20,5.5,183,82.6,3.2,29.89,90.4
SNG0014,Pop,Sep,Fri,0,1,1,0,117.8,22,3.4,145,77.1,4.9,44.3,95.8
SNG0015,Pop,Dec,Fri,1,0,0,1,36.5,13,3.1,224,33.1,5.5,44.99,86.7
SNG0016,Pop,Nov,Wed,0,0,0,0,154,10,6.2,153,44.6,2.7,36.68,81.2
SNG0017,Hip-Hop,Oct,Sat,1,0,0,0,55.8,15,2.4,180,71.9,3.7,41.31,89
SNG0018,Rock,Sep,Fri,0,0,1,0,91,15,10.9,219,71.2,9.6,37.83,100
SNG0019,R&B,Oct,Sun,0,1,1,0,102.7,14,10.3,189,97.9,44.3,49.68,100
SNG0020,Hip-Hop,Oct,Fri,0,1,1,1,86.2,22,7.5,210,42.2,20.2,32.71,90.5
SNG0021,Rock,Jul,Fri,1,1,1,0,61.8,15,5.4,166,84.3,10.3,46.79,87.9
