Summary,Precip_Type,Temperature_Celcius,Humidity,Wind_Speed,Wind_Bearing,Visibility,Pressure
Partly Cloudy,rain,9.47222222222222,0.89,14.1197,251,15.8263,1015.13
Partly Cloudy,rain,9.35555555555556,0.86,14.2646,259,15.8263,1015.63
Mostly Cloudy,rain,9.37777777777778,0.89,3.9284,204,14.9569,1015.94
Partly Cloudy,rain,8.28888888888889,0.83,14.1036,269,15.8263,1016.41
Mostly Cloudy,rain,8.75555555555555,0.83,11.0446,259,15.8263,1016.51
Partly Cloudy,rain,9.22222222222222,0.85,13.9587,258,14.9569,1016.66
Partly Cloudy,rain,7.73333333333333,0.95,12.3648,259,9.982,1016.72
Partly Cloudy,rain,8.77222222222222,0.89,14.1519,260,9.982,1016.84
Partly Cloudy,rain,10.8222222222222,0.82,11.3183,259,9.982,1017.37
Partly Cloudy,rain,13.7722222222222,0.72,12.5258,279,9.982,1017.22
Partly Cloudy,rain,16.0166666666667,0.67,17.5651,290,11.2056,1017.42
Partly Cloudy,rain,17.1444444444444,0.54,19.7869,316,11.4471,1017.74
Partly Cloudy,rain,17.8,0.55,21.9443,281,11.27,1017.59
Partly Cloudy,rain,17.3333333333333,0.51,20.6885,289,11.27,1017.48
Partly Cloudy,rain,18.8777777777778,0.47,15.3755,262,11.4471,1017.17
Partly Cloudy,rain,18.9111111111111,0.46,10.4006,288,11.27,1016.47
Partly Cloudy,rain,15.3888888888889,0.6,14.4095,251,11.27,1016.15
Mostly Cloudy,rain,15.55,0.63,11.1573,230,11.4471,1016.17
Mostly Cloudy,rain,14.2555555555556,0.69,8.5169,163,11.2056,1015.82
Mostly Cloudy,rain,13.1444444444444,0.7,7.6314,139,11.2056,1015.83
Mostly Cloudy,rain,11.55,0.77,7.3899,147,11.0285,1015.85
Mostly Cloudy,rain,11.1833333333333,0.76,4.9266,160,9.982,1015.77
Partly Cloudy,rain,10.1166666666667,0.79,6.6493,163,15.8263,1015.4
Mostly Cloudy,rain,10.2,0.77,3.9284,152,14.9569,1015.51
Partly Cloudy,rain,10.4222222222222,0.62,16.9855,150,15.8263,1014.4
Partly Cloudy,rain,9.91111111111111,0.66,17.2109,149,15.8263,1014.2
Mostly Cloudy,rain,11.1833333333333,0.8,10.8192,163,14.9569,1008.71
Partly Cloudy,rain,7.15555555555556,0.79,11.0768,180,15.8263,1014.47
Partly Cloudy,rain,6.11111111111111,0.82,6.6493,161,15.8263,1014.45
Partly Cloudy,rain,6.78888888888889,0.83,13.0088,135,14.9569,1014.49
Mostly Cloudy,rain,7.26111111111111,0.85,11.1734,141,6.1985,1014.52
Mostly Cloudy,rain,7.8,0.83,12.8156,150,8.05,1014.16
Mostly Cloudy,rain,9.87222222222223,0.78,13.7494,160,9.982,1014.24
Mostly Cloudy,rain,12.2222222222222,0.72,15.6331,150,9.982,1014.25
Mostly Cloudy,rain,15.0944444444444,0.61,17.549,151,9.982,1013.96
Mostly Cloudy,rain,17.3555555555556,0.52,22.7815,169,9.982,1013.85
Mostly Cloudy,rain,19.0055555555555,0.46,23.8924,169,9.982,1013.04
Mostly Cloudy,rain,20.0444444444444,0.4,28.3682,170,9.982,1012.22
Mostly Cloudy,rain,21.05,0.4,26.9031,187,10.3523,1011.44
Mostly Cloudy,rain,21.1833333333333,0.37,25.6956,179,9.982,1010.52
Mostly Cloudy,rain,20.1166666666667,0.4,25.3092,162,9.982,1009.83
Mostly Cloudy,rain,20.2166666666667,0.36,18.1125,161,10.3523,1009.26
Mostly Cloudy,rain,20,0.43,23.4255,160,9.982,1008.76
Mostly Cloudy,rain,17.8,0.5,20.0445,150,11.2056,1008.36
Mostly Cloudy,rain,16.0611111111111,0.53,21.3969,149,9.982,1008.11
Mostly Cloudy,rain,15.0222222222222,0.55,21.3808,159,9.982,1008.15
Overcast,rain,14.4222222222222,0.58,20.0123,159,15.8263,1007.85
Overcast,rain,14.2555555555556,0.59,16.5025,168,14.9569,1007.89
Overcast,rain,13.7722222222222,0.6,17.0982,160,15.8263,1007.36
Overcast,rain,13.2833333333333,0.63,14.3612,160,15.8263,1007.26
Overcast,rain,8.63333333333333,0.87,22.0409,32,6.6976,1005.1
Overcast,rain,11.25,0.83,11.3344,152,15.8263,1007.01
Overcast,rain,11.1833333333333,0.89,11.2056,180,9.9015,1006.73
Overcast,rain,10.6944444444444,0.95,10.4006,161,6.6976,1006.59
Mostly Cloudy,rain,11.1111111111111,0.93,12.0106,140,5.9731,1006.34
Mostly Cloudy,rain,11.1111111111111,0.93,9.2092,103,10.8031,1006.09
Partly Cloudy,rain,12.1666666666667,0.82,9.9015,113,10.6743,1005.97
Partly Cloudy,rain,12.7555555555556,0.79,13.8299,129,10.8192,1005.63
Partly Cloudy,rain,13.8388888888889,0.84,9.0965,159,10.8192,1005.83
Partly Cloudy,rain,16.1833333333333,0.73,0.644,207,10.7548,1005.97
Mostly Cloudy,rain,17.5166666666667,0.67,0.6762,153,10.8997,1005.64
Mostly Cloudy,rain,17.3833333333333,0.67,3.864,4,10.8514,1005.2
Mostly Cloudy,rain,17.3611111111111,0.71,7.8246,341,11.0768,1005.1
Mostly Cloudy,rain,17.2055555555556,0.74,15.5848,15,10.8514,1004.65
Mostly Cloudy,rain,15.6333333333333,0.81,23.6992,348,10.8836,1004.04
Overcast,rain,13.5777777777778,0.9,20.9622,321,7.6153,1004.08
Foggy,rain,10.9111111111111,0.86,22.3951,311,2.6565,1004.61
Foggy,rain,8.8,0.99,26.5006,339,2.6565,1004.99
Overcast,rain,8.96111111111111,0.93,23.2162,340,3.8157,1004.85
Overcast,rain,8.2,0.96,25.4219,330,4.4919,1004.96
Overcast,rain,7.68888888888889,0.96,28.1267,339,4.4436,1005.14
Overcast,rain,7.76666666666666,0.96,19.2878,339,5.6833,1005.05
Foggy,rain,8.2,0.96,20.447,341,3.1073,1004.8
Foggy,rain,8.17777777777778,0.93,27.8691,19,3.2039,1004.89
Mostly Cloudy,rain,7.31111111111111,0.82,6.7459,277,14.0553,1007
Overcast,rain,7.64444444444444,0.93,14.9086,9,6.118,1004.3
Overcast,rain,6.62222222222222,0.93,25.0355,0,6.118,1003.68
Overcast,rain,6.68333333333333,0.93,19.8352,350,6.1663,1003.86
Overcast,rain,6.08888888888889,0.93,28.0945,349,7.9695,1003.57
Overcast,rain,6.06666666666667,0.93,27.9818,348,6.3434,1003.96
Breezy and Mostly Cloudy,rain,6.14444444444445,0.93,30.8637,349,10.5455,1004.1
Breezy and Mostly Cloudy,rain,7.13333333333334,0.8,32.1678,349,11.2056,1004.26
Overcast,rain,7.20555555555556,0.86,26.5328,339,11.27,1004.18
Mostly Cloudy,rain,7.56666666666667,0.84,28.336,339,10.5455,1004.23
Mostly Cloudy,rain,8.9,0.77,29.8333,348,11.27,1004.47
Mostly Cloudy,rain,9.96111111111111,0.71,28.4809,339,11.27,1004.52
Mostly Cloudy,rain,9.88888888888889,0.71,28.5131,338,11.0768,1004.29
Mostly Cloudy,rain,11.0666666666667,0.71,25.6956,320,11.27,1003.93
Overcast,rain,10.1166666666667,0.76,25.3414,311,11.27,1004
